TAZ,Ridership
-1,0
0,4
1,36
2,9
3,8
4,50
5,8
6,11
7,71
8,2295
9,9
10,777
11,15
12,34
13,16
14,117
15,29
17,2
18,30
19,2
20,1
21,497
22,13
23,23
25,6
26,98
27,4
28,16
29,333
30,19
31,2
32,9
33,7
34,5
36,5
37,7
38,1
39,6
42,4
43,1
44,7
48,3
49,4
50,6
51,1
52,4
53,14
54,3
55,5
56,6
57,2
58,14
59,6
60,4
61,7
62,8
63,3
64,74
65,4
66,11
67,1
68,12
69,1
70,7
71,1
72,5
73,5
74,7
75,22
76,3
77,1
78,6
79,12
80,17
81,1
82,6
83,12
86,1
87,2
89,33
91,2
92,113
93,5
94,3
95,9
96,8
97,12
98,15
99,1
100,53
101,9
103,3
104,6
106,3
107,26
108,21
109,11
110,2
111,11
112,5
113,20
114,22
116,4
117,4
118,18
119,1
120,12
121,10
122,3
123,7
124,5
125,1
126,27
127,1
128,2
129,1
130,39
131,13
132,4
133,26
134,8
135,8
136,1
137,5
138,21
139,26
140,13
142,18
143,5
144,17
145,1
146,1
147,3
148,2
149,2
150,9
151,2
153,4
154,9
155,34
156,7
157,85
158,3
159,18
160,19
161,3
163,7
164,2
165,8
166,7
167,1
168,131
169,70
170,11
171,4
172,12
173,12
174,28
175,5
176,2
177,3
178,36
180,14
181,3
182,2278
183,18304
184,4596
185,3329
186,7760
187,15040
188,5103
189,777
190,420
191,180
192,8157
193,2110
194,37
195,22
196,15
197,409
198,2653
199,1701
200,6
203,5
204,2
205,5
206,10
207,12
208,8
209,6
210,7
211,5
212,7
213,4
214,5
215,33
216,16
217,1
218,9
219,51
220,16
221,17
222,9
223,6
224,1075
225,1763
226,311
227,257
228,370
229,5
230,9
231,179
232,176
233,66
234,96
235,588
236,179
237,184
238,47
239,49
240,61
241,26
242,19
243,4
244,15
245,11
246,6
247,3
248,4
249,4
250,3
251,5
252,7
253,2
254,7
255,4
256,34
257,17
258,6
259,1
260,5
261,3
262,5
263,1
264,2
265,23
266,8
267,8
268,6
269,26
270,28
271,19
273,14
274,4
275,11
276,23
277,19
278,13
279,17
280,63
281,27
282,30
283,30
284,23
285,83
286,103
287,41
288,39
289,14
290,4
291,75
292,2
293,7
294,22
295,48
296,9
298,10
299,8
300,5
301,62
302,30
303,8
306,60
307,24
308,200
309,1268
310,14
311,59
312,16
313,1
314,9
315,8
316,19
317,48
318,216
319,8
320,16
321,4
322,7
323,6
324,6
325,6
326,2
327,20
328,7
329,2
330,12
331,3
332,5
334,8
335,10
336,1
337,18
338,4
339,1
340,401
341,107
342,63
343,40
344,328
345,74
346,11
