TAZ,TaxiCount
0,4
1,20
2,7
3,5
4,39
5,5
6,10
7,46
8,1274
9,9
10,483
11,10
12,16
13,12
14,70
15,13
17,2
18,22
19,1
20,1
21,180
22,3
23,7
25,4
26,67
27,2
28,5
29,307
30,18
31,2
32,5
33,7
34,5
36,5
37,3
38,1
39,6
42,3
43,1
44,2
48,3
49,3
50,3
51,1
52,2
53,12
54,3
55,5
56,3
57,2
58,6
59,1
60,3
61,4
62,7
63,3
64,18
65,3
66,5
67,1
68,6
69,1
70,2
71,1
72,5
73,4
74,7
75,11
76,2
77,1
78,6
79,9
80,9
81,1
82,2
83,6
86,1
87,1
89,15
91,2
92,100
93,5
94,3
95,5
96,3
97,8
98,8
99,1
100,35
101,5
103,2
104,2
106,2
107,20
108,11
109,7
110,1
111,7
112,5
113,12
114,15
116,3
117,3
118,3
119,1
120,9
121,5
122,2
123,6
124,3
125,1
126,6
127,1
128,1
129,1
130,16
131,8
132,3
133,14
134,3
135,3
136,1
137,4
138,14
139,9
140,6
142,10
143,5
144,8
145,1
146,1
147,2
148,2
149,2
150,3
151,2
153,3
154,4
155,14
156,4
157,62
158,3
159,10
160,16
161,3
163,4
164,2
165,7
166,3
167,1
168,78
169,42
170,9
171,3
172,7
173,8
174,19
175,4
176,2
177,3
178,26
180,4
181,2
182,1357
183,10439
184,2468
185,1975
186,4578
187,8733
188,2967
189,456
190,279
191,120
192,4936
193,1178
194,24
195,16
196,13
197,243
198,1505
199,1000
200,5
203,5
204,2
205,5
206,2
207,7
208,5
209,5
210,3
211,4
212,7
213,3
214,5
215,16
216,9
217,1
218,5
219,47
220,15
221,17
222,9
223,6
224,618
225,1043
226,193
227,146
228,222
229,5
230,5
231,118
232,105
233,49
234,60
235,364
236,148
237,149
238,35
239,23
240,60
241,22
242,14
243,3
244,9
245,10
246,3
247,3
248,4
249,3
250,3
251,5
252,7
253,2
254,5
255,4
256,19
257,14
258,3
259,1
260,2
261,3
262,3
263,1
264,2
265,12
266,4
267,6
268,5
269,11
270,24
271,14
273,13
274,4
275,8
276,9
277,12
278,13
279,8
280,36
281,16
282,20
283,17
284,15
285,55
286,53
287,24
288,19
289,7
290,2
291,68
292,2
293,5
294,19
295,10
296,4
